Station (alphabetical by borough),2011,2012,2013,2014,2015,2016,2015-2016 Change,,2016 Rank,Borough
Ditmas Av ,1392790,1404811,1455737,1437835,1033946,1055185,21239,0.021,355,Brooklyn
219 St ,1032343,1063058,1099491,1124522,1108859,1049128,-59731,-0.054,356,The Bronx
Buhre Av ,991171,1008640,1111659,637600,661527,1048776,387249,0.585,357,The Bronx
Livonia Av ,829015,902860,934287,987560,1001522,1045593,44071,0.044,358,Brooklyn
Van Siclen Av ,901530,897528,941172,967947,1019100,1017779,-1321,-0.001,359,Brooklyn
39 Av ,823763,930291,1012381,1104375,1072026,1016809,-55217,-0.052,360,Queens
Ocean Pkwy ,1033582,983972,990091,969271,1022215,1016458,-5757,-0.006,361,Brooklyn
50 St ,897609,941157,1021409,1009971,968612,1012356,43744,0.045,362,Brooklyn
Howard Beach-JFK Airport ,928529,1074516,1626984,963503,1041816,1012067,-29749,-0.029,363,Queens
Van Siclen Av ,886663,893665,913115,943663,966461,983370,16909,0.017,364,Brooklyn
Bay 50 St ,920243,777836,847843,884302,872953,972937,99984,0.115,365,Brooklyn
Beverley Rd ,1095502,950243,737652,838970,899663,953903,54240,0.06,366,Brooklyn
Avenue H ,521818,823237,875106,896279,899662,952855,53193,0.059,367,Brooklyn
88 St ,805054,792615,808822,613296,1011163,952251,-58912,-0.058,368,Queens
Avenue N ,1049752,1012534,1044429,1050916,1027713,941921,-85792,-0.083,369,Brooklyn
Liberty Av ,817481,796044,810031,807678,858554,920826,62272,0.073,370,Brooklyn
Hewes St ,848377,895661,927212,903641,981379,913179,-68200,-0.069,371,Brooklyn
Pelham Pkwy ,897433,923188,919689,907735,894727,897374,2647,0.003,372,The Bronx
155 St ,792465,798881,822333,852716,842826,881431,38605,0.046,373,Manhattan
Flushing Av ,616083,655317,728668,808421,866803,877269,10466,0.012,374,Brooklyn
Seneca Av ,758144,716729,711011,755026,842069,854251,12182,0.014,375,Queens
104 St ,782115,755193,779537,827890,841545,850903,9358,0.011,376,Queens
Bronx Park East ,826356,860554,914831,933109,877311,841547,-35764,-0.041,377,The Bronx
Alabama Av ,759581,772447,770075,784998,814578,834945,20367,0.025,378,Brooklyn
Beach 67 St-Arverne By The Sea ,681006,572418,357807,701784,799134,811248,12114,0.015,379,Queens
Avenue P ,836317,825620,861095,864424,858733,809816,-48917,-0.057,380,Brooklyn
111 St ,805590,764882,780300,802275,812055,805255,-6800,-0.008,381,Queens
West 8 St-New York Aquarium ,814749,767921,702810,741345,789416,795636,6220,0.008,382,Brooklyn
121 St ,694567,664855,688985,766469,788674,794687,6013,0.008,383,Queens
Beach 60 St ,555937,588970,406698,772376,801015,794595,-6420,-0.008,384,Queens
Zerega Av,825755,849815,985388,599478,492883,784314,291431,0.591,385,The Bronx
Avenue U ,696998,707595,717486,699414,716715,772331,55616,0.078,386,Brooklyn
Pennsylvania Av ,1805956,1690851,1752108,1746438,2111790,753493,-1358297,-0.643,387,Brooklyn
Avenue X ,854737,860597,908520,892170,589962,727220,137258,0.233,388,Brooklyn
18 Av ,1828462,1819255,1641928,1775695,1784992,723187,-1061805,-0.595,389,Brooklyn
Junius St ,678990,660013,690625,727369,928235,681935,-246300,-0.265,390,Brooklyn
Morris Park ,554320,589170,631930,621945,629282,677899,48617,0.077,391,The Bronx
Aqueduct Racetrack ,54183,0,213601,630644,672734,676971,4237,0.006,392,Queens
Bushwick Av-Aberdeen St ,405385,427032,490042,563577,598393,672880,74487,0.124,393,Brooklyn
55 St ,586282,546080,601931,603320,595157,665488,70331,0.118,394,Brooklyn
215 St ,583486,599790,638224,626312,615177,636441,21264,0.035,395,Manhattan
104 St ,523212,507774,516000,388144,538400,626547,88147,0.164,396,Queens
Beach 25 St ,501037,437602,267585,519843,570312,601116,30804,0.054,397,Queens
Middletown Rd ,559746,566771,441950,661242,795762,598447,-197315,-0.248,398,The Bronx
Avenue I ,696851,684241,699582,696140,672710,585217,-87493,-0.13,399,Brooklyn
21 St ,364597,469173,422616,427353,533529,580065,46536,0.087,400,Queens
Park Pl ,707253,682438,646934,608731,602858,576122,-26736,-0.044,401,Brooklyn
Whitlock Av ,726747,524988,534489,543798,545079,571352,26273,0.048,402,The Bronx
111 St ,798886,796622,795820,802831,767647,561857,-205790,-0.268,403,Queens
Fort Hamilton Pkwy ,2086389,2105486,2200487,2278120,2164028,554051,-1609977,-0.744,404,Brooklyn
Neptune Av ,536991,505076,523554,512828,531011,513566,-17445,-0.033,405,Brooklyn
Kings Hwy ,1601357,1616827,1630749,1687226,1710115,475763,-1234352,-0.722,406,Brooklyn
Cypress Hills ,435446,411495,432557,450480,452936,462143,9207,0.02,407,Brooklyn
Avenue U ,1244178,1297870,1211062,1251276,1253349,456533,-796816,-0.636,408,Brooklyn
Atlantic Av ,427914,444960,482835,535041,422505,436300,13795,0.033,409,Brooklyn
86 St ,796379,811332,801109,837472,859293,419039,-440254,-0.512,410,Brooklyn
20 Av ,1220065,1245145,1286961,1305487,1279525,409416,-870109,-0.68,411,Brooklyn
Bay Pkwy ,434564,464906,487308,478322,460536,406793,-53743,-0.117,412,Brooklyn
Aqueduct-North Conduit Av ,474915,890505,698115,357399,365488,342494,-22994,-0.063,413,Queens
Beach 90 St ,387012,305397,194416,306284,333006,335515,2509,0.008,414,Queens
East 143 St-St Mary's St ,280840,285464,273895,279012,298462,313386,14924,0.05,415,The Bronx
Beach 36 St ,192676,217880,143400,272799,296860,305816,8956,0.03,416,Queens
Rockaway Park-Beach 116 St ,286902,251080,135956,231407,255542,250220,-5322,-0.021,417,Queens
Beach 44 St ,225250,161946,91331,181758,197543,212440,14897,0.075,418,Queens
Beach 98 St ,198503,193332,100594,200197,214040,203795,-10245,-0.048,419,Queens
Beach 105 St ,80580,82088,48916,82980,99254,95469,-3785,-0.038,420,Queens
Broad Channel ,88837,75969,36849,74386,91766,91208,-558,-0.006,421,Queens
Cortlandt St ,0,0,0,0,0,0,,,,Manhattan
Brooklyn,352296972,356868204,372392182,382724843,387548598,384540220,-3008378,-0.008,,
Bronx,142957026,145029400,149111695,152510555,152317861,153079012,761151,0.005,,
Manhattan,904762522,912045393,940342922,965303064,970332468,966394667,-3937801,-0.004,,
Queens,240626516,240626903,245692630,250683329,252328123,252780951,452828,0.002,,
Systemwide Adjustment,-208364,12365,16285,65830,38369,19950,-27461,,,
System Total,1640434672,1654582265,1707555714,1751287621,1762565419,1756814800,-5750619,-0.003,,
