Station (alphabetical by borough),2011,2012,2013,2014,2015,2016,2015-2016 Change,,2016 Rank,Borough
Lorimer St ,1470761,1494085,1523986,1500980,1614154,1595826,-18328,-0.011,295,Brooklyn
Freeman St ,1348014,1393186,1486965,1517066,1492757,1588448,95691,0.064,296,The Bronx
Eastern Pkwy-Brooklyn Museum ,1568924,1578613,1674856,1665524,1676659,1585048,-91611,-0.055,297,Brooklyn
Classon Av ,1308232,1355886,1432872,1477256,1604508,1581663,-22845,-0.014,298,Brooklyn
Far Rockaway-Mott Av ,1426835,1217871,806025,1486147,1576988,1572694,-4294,-0.003,299,Queens
Kingston Av ,1519113,1515277,1545567,1564089,1573003,1560437,-12566,-0.008,300,Brooklyn
Jamaica-Van Wyck ,1527249,1552178,1565998,1587413,1545016,1536716,-8300,-0.005,301,Queens
Rockaway Av ,1792136,1682755,1753354,1763824,526505,1534978,1008473,1.915,302,Brooklyn
Smith-9 Sts ,577571,0,926087,1539209,1636221,1533167,-103054,-0.063,303,Brooklyn
East 149 St ,1383455,1403118,1457795,1460311,1479241,1518946,39705,0.027,304,The Bronx
Briarwood-Van Wyck Blvd ,1730276,1563242,1427813,1427017,1479278,1515926,36648,0.025,305,Queens
Woodhaven Blvd ,1357800,1328319,1398536,1505920,1551590,1513298,-38292,-0.025,306,Queens
103 St ,1453267,1472319,1528633,1555514,1521132,1481660,-39472,-0.026,307,Manhattan
190 St ,1445656,1473807,1472564,1458911,1530460,1460194,-70266,-0.046,308,Manhattan
163 St-Amsterdam Av ,1221336,1230018,1317493,1390615,1395260,1450668,55408,0.04,309,Manhattan
Sutter Av ,1303422,1383957,1449524,1499122,1453567,1435112,-18455,-0.013,310,Brooklyn
Sutphin Blvd ,1470022,1468970,1550363,1468419,1506607,1414334,-92273,-0.061,311,Queens
Kings Hwy ,1115062,1117098,1134042,1137784,1202640,1398753,196113,0.163,312,Brooklyn
Broadway ,995856,1023397,1071877,1124407,1313362,1397227,83865,0.064,313,Brooklyn
Beverly Rd ,1276466,1274789,1364573,1360719,1392643,1379958,-12685,-0.009,314,Brooklyn
225 St ,1336790,1382626,1400377,1445591,1439495,1365544,-73951,-0.051,315,The Bronx
Middle Village-Metropolitan Av ,1220377,1189616,1200171,1300110,1361246,1365048,3802,0.003,316,Queens
Nostrand Av ,1324424,1313227,1327377,1358826,1386067,1358853,-27214,-0.02,317,Brooklyn
36 St ,1238985,1257059,1278109,1307054,1339754,1355271,15517,0.012,318,Queens
Fort Hamilton Pkwy ,1103024,1025285,1240644,1317172,1297755,1349733,51978,0.04,319,Brooklyn
18 Av ,1306839,1294568,1313344,1277024,1392552,1344286,-48266,-0.035,320,Brooklyn
Neck Rd ,1242661,1148708,1218313,1232947,1305776,1336596,30820,0.024,321,Brooklyn
St Lawrence Av ,463809,1212796,1280074,1315456,1320571,1329758,9187,0.007,322,The Bronx
238 St ,902601,1106353,1092492,1209623,1240616,1327862,87246,0.07,323,The Bronx
Forest Av ,1172881,1134938,1179301,1235376,1317289,1316296,-993,-0.001,324,Queens
155 St ,1248295,1257551,1281168,1299098,1306282,1308981,2699,0.002,325,Manhattan
Eastchester-Dyre Av ,1309695,1366077,1441375,1380334,1330123,1293411,-36712,-0.028,326,The Bronx
Knickerbocker Av ,1136213,702426,1018286,1147331,1288025,1288438,413,0,327,Brooklyn
Cypress Av ,1142381,1097947,1186696,1226878,1228311,1265930,37619,0.031,328,The Bronx
Van Siclen Av ,1061359,1016466,1060055,1048755,304082,1250237,946155,3.112,329,Brooklyn
85 St-Forest Pkwy ,1138842,1125639,1157863,1212661,1239793,1237770,-2023,-0.002,330,Queens
Bergen St ,1326721,1397036,1296199,1236513,1210571,1231084,20513,0.017,331,Brooklyn
President St ,1133831,1142008,1216019,1221048,1243976,1226582,-17394,-0.014,332,Brooklyn
Bowery ,991686,968629,970576,1057000,1184920,1223959,39039,0.033,333,Manhattan
Harlem-148 St ,1101666,1110842,1171372,1209633,1269910,1220407,-49503,-0.039,334,Manhattan
Wilson Av ,1093030,1115994,1243700,1393045,1407098,1219239,-187859,-0.134,335,Brooklyn
Saratoga Av ,1743578,1676421,1777399,1791700,2442282,1208956,-1233326,-0.505,336,Brooklyn
East 105 St ,1101683,1110433,1161688,1197125,1187844,1201578,13734,0.012,337,Brooklyn
25 St ,1243737,1198226,1218842,1274939,1221949,1188884,-33065,-0.027,338,Brooklyn
75 St-Elderts Ln ,1128911,1107947,1138544,1172162,1196186,1187714,-8472,-0.007,339,Queens
65 St ,1098734,1131591,1124823,1159576,1192281,1183534,-8747,-0.007,340,Queens
Central Av ,890194,992142,505757,970531,1141731,1158274,16543,0.014,341,Brooklyn
Norwood Av ,1065062,1097011,1095573,1145643,1159274,1146658,-12616,-0.011,342,Brooklyn
Nereid Av ,1025004,1086227,1195804,1183733,1162973,1131328,-31645,-0.027,343,The Bronx
Baychester Av ,1106959,1161075,1234050,1186372,1137693,1112259,-25434,-0.022,344,The Bronx
Cleveland St ,1002848,1029708,1050261,1107397,1120403,1104683,-15720,-0.014,345,Brooklyn
75 Av ,1171380,1130707,1155836,1131705,1136305,1102600,-33705,-0.03,346,Queens
Burke Av ,1036169,1086792,1133298,1158787,1139826,1099582,-40244,-0.035,347,The Bronx
80 St ,1283827,1294099,1310413,1507116,1465264,1098234,-367030,-0.25,348,Queens
Chauncey St ,966989,964735,938803,959091,1045698,1092483,46785,0.045,349,Brooklyn
145 St ,981914,1014623,1073259,1114674,1137484,1086105,-51379,-0.045,350,Manhattan
Longwood Av ,1067960,1065764,1087990,1098022,1088970,1081519,-7451,-0.007,351,The Bronx
Intervale Av ,902216,937280,1048501,1095221,1039265,1061240,21975,0.021,353,The Bronx
Shepherd Av ,930613,945113,988620,1027404,1059106,1059144,38,0,354,Brooklyn
